UV,UV,UV
" Sample 1"," Sample 2"," Sample 3"
0.020000,0.010000,0.040000
0.030000,0.030000,0.040000
0.020000,0.010000,0.010000
0.010000,0.450000,0.030000
0.020000,0.020000,0.020000
0.020000,0.007379,0.020000
0.060000,0.010000,0.020000
0.050000,0.010000,0.020000
0.010000,0.020000,0.060000
0.030000,0.010000,0.080000
0.020000,0.110000,0.020000
0.030000,0.010000,0.010000
0.020000,0.008609,0.060000
0.030000,0.070000,0.030000
0.070000,0.008609,0.008728
0.007379,0.030000,0.040000
0.010000,0.160000,0.220000
0.010000,0.040000,0.020000
0.020000,0.009839,0.030000
0.010000,0.090000,0.030000
0.060000,0.020000,0.020000
0.020000,0.010000,0.020000
0.009839,0.010000,0.050000
0.050000,0.010000,0.040000
0.060000,0.070000,0.040000
0.020000,0.010000,0.010000
0.050000,0.010000,0.010000
0.010000,0.010000,0.080000
0.040000,0.350000,0.040000
0.040000,0.010000,0.020000
0.020000,0.010000,0.060000
0.020000,0.009839,0.030000
0.020000,0.008609,0.030000
0.020000,0.008609,0.030000
0.009839,0.010000,0.040000
0.030000,0.040000,0.020000
0.030000,0.009839,0.030000
0.010000,0.009839,0.030000
0.020000,0.010000,0.020000
0.030000,0.020000,0.120000
0.020000,0.008609,0.020000
0.030000,0.960000,0.050000
0.030000,0.010000,0.070000
0.030000,0.030000,0.030000
0.020000,0.010000,0.020000
0.030000,0.010000,0.020000
0.040000,0.010000,0.030000
0.020000,0.009839,0.010000
0.080000,0.010000,0.010000
0.050000,0.020000,0.090000
0.020000,0.010000,0.020000
0.030000,0.020000,0.040000
0.040000,0.030000,0.050000
0.020000,0.008609,0.050000
0.020000,0.010000,0.030000
0.110000,0.010000,0.030000
0.010000,0.020000,0.040000
0.050000,0.050000,0.030000
0.020000,0.020000,0.040000
0.020000,0.020000,0.020000
0.030000,0.020000,0.060000
0.020000,0.020000,0.009975
0.008609,0.010000,0.030000
0.010000,0.009839,0.030000
0.010000,0.010000,0.030000
0.080000,0.010000,0.040000
0.030000,0.009839,0.020000
0.009839,0.020000,0.030000
0.020000,0.030000,0.030000
0.020000,0.020000,0.008728
0.010000,0.050000,0.020000
0.020000,0.020000,0.020000
0.010000,0.010000,0.120000
0.010000,0.020000,0.050000
0.020000,0.010000,0.030000
0.010000,0.020000,0.070000
0.020000,0.020000,0.020000
0.020000,0.008609,0.030000
0.008609,0.010000,0.010000
0.030000,0.009839,0.020000
0.008609,0.010000,0.090000
0.030000,0.050000,0.030000
0.110000,0.020000,0.040000
0.040000,0.010000,0.050000
0.030000,0.070000,0.030000
0.100000,0.010000,0.009352
0.010000,0.010000,0.050000
0.030000,0.008105,0.040000
0.030000,0.030000,0.030000
0.020000,0.020000,0.040000
0.009839,0.010000,0.010000
0.070000,0.008105,0.040000
0.040000,0.008105,0.030000
0.020000,0.020000,0.008105
0.020000,0.010000,0.100000
0.009839,0.020000,0.040000
0.010000,0.008728,0.100000
0.010000,0.009975,0.020000
0.050000,0.010000,0.010000
0.010000,0.008728,0.040000
0.010000,0.010000,0.010000
0.007379,0.020000,0.020000
0.010000,0.009975,0.030000
0.030000,0.020000,0.110000
0.009839,0.009352,0.010000
0.070000,0.010000,0.150000
0.010000,0.100000,0.020000
0.080000,0.010000,0.070000
0.030000,0.020000,0.008609
0.020000,0.009352,0.040000
0.020000,0.010000,0.030000
0.020000,0.008728,0.090000
0.020000,0.020000,0.040000
0.009839,0.070000,0.730000
0.090000,0.010000,0.030000
0.009839,0.009975,1.340000
0.010000,0.010000,0.020000
0.020000,0.030000,0.090000
0.020000,0.020000,0.040000
0.009839,0.150000,0.720000
0.020000,0.040000,0.030000
0.009839,0.010000,1.320000
0.010000,0.008728,0.030000
0.050000,0.008105,0.050000
0.010000,0.009352,0.090000
0.020000,0.030000,0.020000
0.010000,0.006858,0.080000
0.030000,0.020000,0.090000
0.020000,0.010000,0.040000
0.009839,0.070000,0.060000
0.030000,0.009352,0.070000
0.030000,0.009352,0.020000
0.010000,0.020000,0.010000
0.010000,0.008728,0.009839
0.020000,0.020000,0.010000
0.020000,0.010000,0.020000
0.020000,0.008105,0.720000
0.010000,0.010000,0.020000
0.030000,0.330000,0.030000
0.008609,0.020000,0.060000
0.030000,0.010000,0.020000
0.030000,0.008728,0.460000
0.010000,0.010000,0.020000
0.020000,0.010000,0.010000
0.010000,0.020000,0.060000
0.020000,0.020000,0.040000
0.020000,0.020000,0.060000
0.010000,0.010000,0.020000
0.060000,0.008728,0.030000
0.030000,0.040000,0.020000
0.020000,0.010000,0.030000
0.170000,0.010000,0.020000
0.030000,0.020000,0.010000
0.010000,0.010000,0.010000
0.010000,0.010000,0.020000
0.030000,0.010000,0.030000
0.009839,0.020000,0.030000
0.040000,0.010000,0.020000
0.020000,0.010000,0.020000
0.010000,0.010000,0.020000
0.020000,0.020000,0.070000
0.009839,0.010000,0.020000
0.010000,0.008728,0.020000
0.030000,0.008728,0.030000
0.008609,0.890000,0.030000
0.020000,0.020000,0.010000
0.020000,0.008728,0.010000
0.030000,0.010000,0.020000
0.010000,0.010000,0.010000
0.010000,0.030000,0.020000
0.020000,0.010000,0.020000
0.030000,0.010000,0.050000
0.010000,0.010000,0.020000
0.020000,0.020000,0.050000
0.020000,0.020000,0.430000
0.020000,0.020000,0.008728
0.010000,0.007481,0.010000
0.020000,0.020000,0.008728
0.030000,0.010000,0.009975
0.009839,0.009975,0.060000
0.020000,0.020000,0.070000
0.010000,0.009352,0.010000
0.007379,0.020000,0.010000
0.040000,0.020000,0.030000
0.020000,0.010000,0.030000
0.030000,0.020000,0.020000
0.030000,0.010000,0.020000
0.020000,0.020000,0.030000
0.030000,0.050000,0.009352
0.010000,0.010000,0.020000
0.010000,0.030000,0.020000
0.030000,0.008728,0.010000
0.020000,0.009352,0.070000
0.030000,0.010000,0.010000
0.010000,0.010000,0.210000
0.010000,0.020000,0.480000
0.020000,0.040000,0.007984
0.020000,0.009352,0.010000
0.020000,0.010000,0.070000
0.010000,0.010000,0.700000
0.030000,0.008728,0.140000
0.040000,0.020000,0.020000
0.030000,0.010000,0.020000
0.080000,0.020000,0.020000
0.009839,0.010000,0.720000
0.020000,0.020000,0.150000
0.010000,0.010000,0.020000
0.030000,0.007481,0.010000
0.020000,0.030000,0.010000
0.040000,0.008728,0.010000
0.010000,0.020000,0.009975
0.030000,0.410000,0.010000
0.030000,0.009352,0.010000
0.020000,0.010000,0.009839
0.009839,0.020000,0.060000
0.010000,0.009352,0.020000
0.020000,0.030000,0.020000
0.020000,0.009352,0.050000
0.040000,0.010000,0.020000
0.020000,0.010000,0.020000
0.010000,0.009975,0.030000
0.020000,0.330000,0.020000
0.010000,0.010000,0.020000
0.008609,0.010000,0.020000
0.020000,0.009975,0.010000
0.020000,0.010000,0.020000
0.010000,0.010000,0.007379
0.030000,0.009352,0.020000
0.060000,0.020000,0.020000
0.010000,0.010000,0.010000
0.060000,0.010000,0.030000
0.010000,0.009352,0.020000
0.020000,0.950000,0.010000
0.010000,0.020000,0.008609
0.010000,0.010000,0.010000
0.060000,0.020000,0.040000
0.010000,0.020000,0.007379
0.010000,0.009581,0.050000
0.030000,0.009900,0.070000
0.010000,0.010000,0.010000
0.020000,0.020000,0.030000
0.010000,0.020000,0.010000
0.030000,0.040000,0.009839
0.060000,0.020000,0.020000
0.040000,0.020000,0.020000
0.010000,0.020000,0.020000
0.020000,0.020000,0.010000
0.010000,0.050000,0.020000
0.010000,0.010000,0.010000
0.030000,0.009261,0.010000
0.020000,0.009900,0.008609
0.010000,0.030000,0.040000
0.009839,0.010000,0.040000
0.030000,0.010000,0.010000
0.030000,0.020000,0.020000
0.009839,0.009900,0.009839
0.030000,0.020000,0.020000
0.020000,0.008942,0.010000
0.020000,0.020000,0.010000
0.020000,0.020000,0.008609
0.010000,0.020000,0.020000
0.010000,0.010000,0.009839
0.020000,0.010000,0.008609
0.020000,0.010000,0.020000
0.020000,0.010000,0.010000
0.060000,0.010000,0.008609
0.008609,0.020000,0.010000
0.050000,0.050000,0.020000
0.030000,0.008623,0.010000
0.009839,0.010000,0.009839
0.030000,0.010000,0.010000
0.020000,0.020000,0.010000
0.040000,0.010000,0.010000
0.020000,0.020000,0.020000
0.007379,0.009581,0.010000
0.070000,0.010000,0.040000
0.040000,0.010000,0.030000
0.010000,0.020000,0.050000
0.008609,0.030000,0.050000
0.010000,0.010000,0.030000
0.020000,0.010000,0.010000
0.050000,0.010000,0.010000
0.020000,0.020000,0.020000
0.020000,0.010000,0.009839
0.040000,0.020000,0.020000
0.020000,0.010000,0.010000
0.030000,0.010000,0.050000
0.030000,0.050000,0.010000
0.010000,0.010000,0.100000
0.009839,0.020000,0.010000
0.020000,0.020000,0.009839
0.007379,0.030000,0.030000
0.010000,0.010000,0.020000
0.008609,0.010000,0.010000
0.030000,0.050000,0.020000
0.020000,0.020000,0.020000
0.020000,0.009839,0.020000
0.010000,0.010000,0.030000
0.010000,0.007379,0.020000
0.010000,0.020000,0.020000
0.020000,0.010000,0.010000
0.009839,0.020000,0.030000
0.010000,0.040000,0.090000
0.010000,0.009839,0.020000
0.020000,0.010000,0.009839
0.020000,0.050000,0.007379
0.080000,0.120000,0.050000
0.009839,0.008609,0.010000
0.010000,0.008609,0.010000
0.020000,0.020000,0.030000
0.020000,0.010000,0.010000
0.010000,0.020000,0.020000
0.008609,0.020000,0.020000
0.010000,0.020000,0.009839
0.010000,0.010000,0.010000
0.008609,0.010000,0.060000
0.030000,0.008609,0.009839
0.020000,0.010000,0.009839
0.020000,0.010000,0.010000
0.008609,0.020000,0.020000
0.030000,0.020000,0.010000
0.007379,0.010000,0.010000
0.020000,0.020000,0.010000
0.080000,0.020000,0.010000
0.030000,0.040000,0.010000
0.020000,0.030000,0.030000
0.020000,0.020000,0.100000
0.010000,0.008609,0.020000
0.010000,0.060000,0.009839
0.010000,0.040000,0.010000
0.010000,0.010000,0.020000
0.020000,0.010000,0.008609
0.020000,0.020000,0.020000
0.020000,0.010000,0.010000
0.010000,0.020000,0.020000
0.020000,0.010000,0.020000
0.020000,0.010000,0.020000
0.020000,0.020000,0.030000
0.020000,0.009839,0.010000
0.060000,0.040000,0.009839
0.010000,0.020000,0.010000
0.020000,0.050000,0.010000
0.010000,0.020000,0.010000
0.020000,0.030000,0.007984
0.020000,0.040000,0.010000
0.010000,0.010000,0.020000
0.060000,0.020000,0.020000
0.020000,0.080000,0.020000
0.020000,0.007379,0.009900
0.020000,0.020000,0.020000
0.010000,0.008609,0.030000
0.020000,0.010000,0.008303
0.050000,0.020000,0.110000
0.030000,0.020000,0.008942
0.008609,0.010000,0.010000
0.030000,0.010000,0.010000
0.010000,0.020000,0.010000
0.030000,0.020000,0.008303
0.020000,0.030000,0.009900
0.020000,0.040000,0.009581
0.010000,0.020000,0.050000
0.010000,0.010000,0.010000
0.090000,0.040000,0.030000
0.030000,0.020000,0.008623
0.020000,0.010000,0.020000
0.010000,0.190000,0.010000
0.020000,0.020000,0.010000
0.020000,0.009839,0.008303
0.010000,0.010000,0.008942
0.010000,0.008609,0.020000
0.060000,0.020000,0.020000
0.010000,0.010000,0.020000
0.010000,0.030000,0.008609
0.050000,0.020000,0.030000
0.010000,0.050000,0.010000
0.090000,0.010000,0.020000
0.030000,0.009839,0.030000
0.030000,0.020000,0.020000
0.030000,0.020000,0.040000
0.010000,0.009839,0.020000
0.010000,0.020000,0.070000
0.020000,0.070000,0.100000
0.010000,0.020000,0.020000
0.070000,0.050000,0.009839
0.030000,0.020000,0.050000
0.130000,0.020000,0.020000
0.020000,0.010000,0.010000
0.020000,0.020000,0.010000
0.010000,0.020000,0.040000
0.060000,0.020000,0.010000
0.010000,0.050000,0.060000
0.040000,0.020000,0.009839
0.020000,0.020000,0.030000
0.010000,0.010000,0.008609
0.010000,0.010000,0.030000
0.020000,0.009839,0.130000
0.050000,0.050000,0.040000
0.030000,0.020000,0.010000
0.030000,0.010000,0.020000
0.009839,0.030000,0.020000
0.030000,0.020000,0.030000
0.060000,0.010000,0.020000
0.030000,0.010000,0.010000
0.010000,0.020000,0.010000
0.009839,0.009839,0.080000
0.006149,0.020000,0.020000
0.020000,0.030000,0.008609
0.020000,0.030000,0.060000
0.030000,0.020000,0.009839
0.010000,0.020000,0.010000
0.030000,0.010000,0.020000
0.030000,0.010000,0.130000
0.010000,0.020000,0.010000
0.030000,0.030000,0.020000
0.020000,0.060000,0.009839
0.030000,0.030000,0.050000
0.220000,0.040000,0.020000
0.009839,0.020000,0.020000
0.010000,0.010000,0.020000
0.050000,0.070000,0.030000
0.009839,0.010000,0.020000
0.030000,0.020000,0.020000
0.010000,0.010000,0.050000
0.008609,0.010000,0.030000
0.010000,0.010000,0.020000
0.020000,0.030000,0.070000
0.020000,0.020000,0.050000
0.010000,0.020000,0.010000
0.008609,0.080000,0.040000
0.020000,0.040000,0.020000
0.030000,0.010000,0.009839
0.008609,0.010000,0.010000
0.020000,0.060000,0.030000
0.020000,0.030000,0.010000
0.008609,0.020000,0.060000
0.020000,0.020000,0.020000
0.009839,0.030000,0.020000
0.020000,0.120000,0.020000
0.780000,0.030000,0.010000
0.170000,0.020000,0.010000
0.030000,0.020000,0.020000
0.010000,0.020000,0.160000
0.030000,0.050000,0.030000
0.020000,0.020000,0.090000
0.020000,0.009839,0.030000
0.009839,0.020000,0.170000
0.030000,0.030000,0.030000
0.008609,0.030000,0.060000
0.060000,0.090000,0.060000
0.008609,0.020000,0.030000
0.008609,0.008609,0.120000
0.020000,0.030000,0.040000
0.040000,0.020000,0.090000
0.010000,0.200000,0.090000
0.060000,0.010000,0.020000
0.050000,0.010000,0.020000
0.020000,0.010000,0.050000
0.020000,0.010000,0.080000
0.009839,0.008609,0.050000
0.050000,0.009839,0.010000
0.010000,0.010000,0.040000
0.020000,0.040000,0.050000
0.009839,0.030000,0.010000
0.010000,0.010000,0.120000
0.010000,0.010000,0.080000
0.040000,0.007379,0.060000
0.010000,0.080000,0.020000
0.050000,0.020000,0.010000
0.050000,0.030000,0.020000
0.010000,0.060000,0.010000
0.030000,0.010000,0.020000
0.009839,0.030000,0.020000
0.030000,0.020000,0.010000
0.020000,0.009839,0.020000
0.070000,0.060000,0.020000
0.010000,0.020000,0.010000
0.010000,0.010000,0.020000
0.050000,0.020000,0.020000
0.020000,0.010000,0.020000
0.010000,0.060000,0.020000
0.020000,0.010000,0.010000
0.030000,0.010000,0.020000
0.020000,0.007379,0.010000
0.010000,0.040000,0.060000
0.009839,0.020000,0.020000
0.030000,0.010000,0.020000
0.100000,0.010000,0.010000
0.020000,0.010000,0.008609
0.130000,0.020000,0.010000
0.020000,0.020000,0.010000
0.010000,0.050000,0.040000
0.020000,0.040000,0.010000
0.020000,0.030000,0.020000
0.010000,0.150000,0.010000
0.030000,0.040000,0.010000
0.020000,0.020000,0.020000
0.040000,0.010000,0.030000
0.020000,0.020000,0.030000
0.008609,0.007379,0.020000
0.030000,0.040000,0.020000
0.010000,0.020000,0.020000
0.030000,0.030000,0.020000
0.040000,0.010000,0.020000
0.030000,0.010000,0.030000
0.020000,0.050000,0.110000
0.060000,0.010000,0.020000
0.040000,0.010000,0.040000
0.040000,0.020000,0.030000
0.009839,0.020000,0.020000
0.020000,0.020000,0.040000
0.010000,0.010000,0.020000
0.008609,0.030000,0.020000
0.010000,0.010000,0.020000
0.010000,0.030000,0.008609
0.010000,0.020000,0.010000
0.030000,0.010000,0.030000
0.030000,0.020000,0.020000
0.080000,0.030000,0.040000
0.020000,0.060000,0.020000
0.030000,0.380000,0.020000
0.040000,0.010000,0.050000
0.010000,0.010000,0.020000
0.009839,0.030000,0.050000
0.030000,0.040000,0.030000
0.020000,0.010000,0.010000
0.110000,0.020000,0.020000
0.020000,0.040000,0.009839
0.060000,0.030000,0.040000
0.010000,0.010000,0.010000
0.010000,0.009839,0.070000
0.020000,0.020000,0.020000
0.040000,0.080000,0.020000
0.020000,0.007379,0.020000
0.020000,0.010000,0.020000
0.010000,0.030000,0.008609
0.020000,0.040000,0.030000
0.020000,0.010000,0.040000
0.060000,0.090000,0.030000
0.010000,0.010000,0.010000
0.020000,0.020000,0.030000
0.010000,0.040000,0.020000
0.020000,0.030000,0.040000
0.030000,0.040000,0.020000
0.010000,0.030000,0.010000
0.010000,0.020000,0.010000
0.020000,0.020000,0.010000
0.009839,0.010000,0.020000
0.010000,0.020000,0.020000
0.010000,0.020000,0.010000
0.009839,0.010000,0.020000
0.010000,0.020000,0.020000
0.007379,0.040000,0.010000
0.009839,0.030000,0.030000
0.020000,0.020000,0.030000
0.040000,0.020000,0.009839
0.008609,0.030000,0.010000
0.050000,0.090000,0.030000
0.070000,0.030000,0.020000
0.040000,0.050000,0.040000
0.010000,0.040000,0.009839
0.007379,0.020000,0.040000
0.020000,0.010000,0.020000
0.030000,0.030000,0.040000
0.010000,0.100000,0.010000
0.030000,0.030000,0.020000
0.020000,0.010000,0.040000
0.030000,0.030000,0.050000
0.030000,0.020000,0.140000
0.020000,0.030000,0.020000
0.010000,0.020000,0.010000
0.090000,0.010000,0.020000
0.010000,0.010000,0.010000
0.030000,0.060000,0.010000
0.008728,0.008609,0.060000
0.020000,0.090000,0.007379
0.010000,0.008609,0.010000
0.010000,0.020000,0.020000
0.020000,0.010000,0.010000
0.060000,0.020000,0.070000
0.009975,0.020000,0.030000
0.010000,0.040000,0.007379
0.020000,0.020000,0.010000
0.050000,0.060000,0.030000
0.010000,0.050000,0.020000
0.030000,0.020000,0.010000
0.030000,0.020000,0.020000
0.030000,0.020000,0.020000
0.020000,0.200000,0.009839
0.010000,0.040000,0.020000
0.008728,0.030000,0.030000
0.010000,0.009839,0.008609
0.020000,0.020000,0.010000
0.010000,0.010000,0.009839
0.010000,0.008609,0.010000
0.009975,0.050000,0.020000
0.010000,0.030000,0.020000
0.030000,0.030000,0.009839
0.020000,0.010000,0.020000
0.020000,0.040000,0.030000
0.040000,0.010000,0.020000
0.009352,0.009839,0.030000
0.020000,0.040000,0.110000
0.050000,0.008609,0.010000
0.020000,0.008609,0.009839
0.020000,0.030000,0.020000
0.030000,0.020000,0.040000
0.030000,0.020000,0.040000
0.008105,0.010000,0.009839
0.010000,0.020000,0.020000
0.030000,0.020000,0.008609
0.030000,0.030000,0.040000
0.010000,0.010000,0.009839
0.009352,0.020000,0.010000
0.010000,0.010000,0.010000
0.020000,0.040000,0.020000
0.030000,0.010000,0.020000
0.009352,0.080000,0.010000
0.020000,0.040000,0.010000
0.009975,0.020000,0.010000
0.010000,0.030000,0.020000
0.030000,0.030000,0.010000
0.030000,0.008609,0.020000
0.030000,0.060000,0.008609
0.030000,0.030000,0.008609
0.010000,0.020000,0.010000
0.220000,0.010000,0.020000
0.010000,0.020000,0.030000
0.008728,0.030000,0.008609
0.020000,0.009839,0.030000
0.009975,0.030000,0.030000
0.030000,0.020000,0.008609
0.010000,0.010000,0.030000
0.010000,0.010000,0.060000
0.020000,0.020000,0.009839
0.009975,0.020000,0.020000
0.009352,0.080000,0.009839
0.030000,0.050000,0.020000
0.010000,0.009839,0.010000
0.009352,0.040000,0.010000
0.020000,0.050000,0.010000
0.010000,0.010000,0.010000
0.030000,0.020000,0.020000
0.008105,0.010000,0.020000
0.010000,0.020000,0.040000
0.010000,0.030000,0.010000
0.009352,0.010000,0.020000
0.020000,0.030000,0.010000
0.040000,0.030000,0.040000
0.790000,0.040000,0.009839
0.030000,0.030000,0.040000
0.020000,0.040000,0.030000
0.010000,0.030000,0.009839
0.150000,0.009839,0.020000
0.010000,0.030000,0.010000
0.030000,0.030000,0.009839
0.060000,0.040000,0.008609
0.010000,0.050000,0.020000
0.009975,0.020000,0.010000
0.020000,0.010000,0.008609
0.020000,0.020000,0.008609
0.010000,0.020000,0.008609
0.040000,0.010000,0.010000
0.009975,0.020000,0.010000
0.010000,0.010000,0.080000
0.010000,0.030000,0.020000
0.010000,0.020000,0.120000
0.010000,0.020000,0.010000
0.020000,0.020000,0.030000
0.009352,0.010000,0.020000
0.010000,0.010000,0.009839
0.010000,0.030000,0.010000
0.010000,0.009839,0.020000
0.010000,0.009839,0.020000
0.020000,0.010000,0.020000
0.010000,0.020000,0.008609
0.010000,0.030000,0.040000
0.020000,0.010000,0.020000
0.030000,0.020000,0.010000
0.020000,0.040000,0.010000
0.020000,0.010000,0.008609
0.009352,0.010000,0.020000
0.010000,0.040000,0.020000
0.010000,0.010000,0.020000
0.030000,0.010000,0.020000
0.010000,0.040000,0.020000
0.020000,0.040000,0.030000
0.009352,0.010000,0.150000
0.010000,0.100000,0.020000
0.010000,0.130000,0.020000
0.010000,0.010000,0.010000
0.020000,0.010000,0.040000
0.020000,0.020000,0.010000
0.010000,0.010000,0.009839
0.010000,0.020000,0.010000
0.010000,0.020000,0.010000
0.020000,0.010000,0.010000
0.020000,0.010000,0.020000
0.020000,0.010000,0.008609
0.020000,0.020000,0.090000
0.110000,0.020000,0.030000
0.120000,0.020000,0.010000
0.007481,0.020000,0.010000
0.020000,0.020000,0.010000
0.020000,0.010000,0.020000
0.010000,0.010000,0.010000
0.030000,0.020000,0.010000
0.040000,0.020000,0.020000
0.020000,0.020000,0.009839
0.030000,0.030000,0.040000
0.008105,0.030000,0.020000
0.008105,0.020000,0.060000
0.009975,0.010000,0.020000
0.008105,0.020000,0.020000
0.010000,0.020000,0.010000
0.020000,0.040000,0.010000
0.040000,0.020000,0.020000
0.040000,0.009352,0.010000
0.008105,0.010000,0.030000
0.010000,0.020000,0.009839
0.020000,0.010000,0.010000
0.009975,0.030000,0.020000
0.008105,0.020000,0.020000
0.010000,0.009975,0.008609
0.010000,0.010000,0.009839
0.020000,0.006858,0.050000
0.010000,0.050000,0.010000
0.030000,0.020000,0.010000
0.040000,0.020000,0.040000
0.020000,0.008728,0.020000
0.010000,0.010000,0.010000
0.008105,0.020000,0.020000
0.020000,0.020000,0.010000
0.030000,0.020000,0.030000
0.010000,0.020000,0.010000
0.010000,0.030000,0.010000
0.020000,0.030000,0.010000
0.009975,0.008728,0.009975
0.060000,0.008728,0.020000
0.009352,0.010000,0.080000
0.010000,0.020000,0.120000
0.009352,0.020000,0.020000
0.040000,0.030000,0.010000
0.010000,0.060000,0.020000
0.010000,0.030000,0.020000
0.009975,0.010000,0.020000
0.020000,0.040000,0.010000
0.020000,0.030000,0.008728
0.009975,0.030000,0.020000
0.010000,0.010000,0.140000
0.007481,0.030000,0.008105
0.008105,0.020000,0.020000
0.010000,0.020000,0.020000
0.010000,0.010000,0.040000
0.030000,0.020000,0.010000
0.010000,0.080000,0.020000
0.180000,0.030000,0.009975
0.020000,0.020000,0.750000
0.010000,0.080000,0.020000
0.007984,0.008105,0.140000
0.008623,0.008728,0.010000
