C,C,C
" Sample 1"," Sample 2"," Sample 3"
0.020000,0.010000,0.020000
0.050000,0.040000,0.020000
0.030000,0.010000,0.030000
0.100000,0.010000,0.060000
0.020000,0.010000,0.010000
0.020000,0.020000,0.040000
0.010000,0.020000,0.010000
0.040000,0.008609,0.020000
0.010000,0.010000,0.020000
0.030000,0.010000,0.130000
0.020000,0.010000,0.050000
0.030000,0.030000,0.380000
0.030000,0.020000,0.030000
0.020000,0.030000,0.009839
0.030000,0.010000,0.010000
0.040000,0.010000,0.050000
0.050000,0.030000,0.030000
0.020000,0.009839,0.020000
0.010000,0.040000,0.120000
0.030000,0.040000,0.030000
0.030000,0.030000,0.030000
0.020000,0.020000,0.100000
0.040000,0.010000,0.020000
0.060000,0.040000,0.130000
0.500000,0.020000,0.020000
0.020000,0.070000,0.040000
0.040000,0.010000,0.040000
0.010000,0.040000,0.040000
0.010000,0.020000,0.150000
0.090000,0.090000,0.020000
0.020000,0.010000,0.020000
0.040000,0.070000,0.009839
0.009839,0.008609,0.060000
0.030000,0.020000,0.040000
0.020000,0.020000,0.060000
0.008609,0.007379,0.130000
0.020000,0.020000,0.020000
0.020000,0.010000,0.020000
0.010000,0.060000,0.040000
0.030000,0.020000,0.010000
0.040000,0.090000,0.009839
0.030000,0.010000,0.080000
0.030000,0.010000,0.020000
0.020000,0.020000,0.030000
0.090000,0.008609,0.050000
0.100000,0.010000,0.050000
0.030000,0.020000,0.010000
0.020000,0.020000,0.020000
0.090000,0.020000,0.050000
0.090000,0.010000,0.090000
0.030000,0.020000,0.020000
0.030000,0.020000,0.040000
0.020000,0.030000,0.050000
0.008609,0.010000,0.008609
0.050000,0.010000,0.008609
0.070000,0.040000,0.050000
0.020000,0.040000,0.020000
0.009839,0.060000,0.020000
0.030000,0.120000,0.050000
0.020000,0.040000,0.030000
0.020000,0.010000,0.009839
0.030000,0.010000,0.030000
0.010000,0.020000,0.300000
0.150000,0.050000,0.080000
0.020000,0.008609,0.020000
0.008609,0.009839,0.040000
0.010000,0.008609,0.100000
0.010000,0.030000,0.870000
0.009839,0.050000,0.020000
0.008609,0.020000,0.010000
0.010000,0.020000,0.009839
0.020000,0.010000,0.009839
0.400000,0.030000,0.010000
0.010000,0.010000,0.008609
0.030000,0.020000,0.050000
0.040000,0.030000,0.030000
0.020000,0.010000,0.020000
0.010000,0.009839,0.070000
0.009839,0.040000,0.020000
0.009839,0.030000,0.020000
0.009839,0.020000,0.050000
0.030000,0.030000,0.010000
0.010000,0.020000,0.060000
0.080000,0.020000,0.040000
0.550000,0.050000,0.040000
0.060000,0.020000,0.020000
0.030000,0.040000,0.050000
0.010000,0.020000,0.120000
0.007379,0.020000,0.030000
0.080000,0.020000,0.030000
0.030000,0.010000,0.010000
0.060000,0.010000,0.010000
0.060000,0.030000,0.020000
0.140000,0.010000,0.020000
0.020000,0.080000,0.040000
0.008609,0.009839,0.010000
0.030000,0.010000,0.010000
0.010000,0.020000,0.008942
0.120000,0.010000,0.140000
0.030000,0.020000,0.020000
0.009839,0.010000,0.020000
0.070000,0.070000,0.010000
0.030000,0.020000,0.020000
0.050000,0.080000,0.009581
0.030000,0.020000,0.020000
0.020000,0.050000,0.010000
0.020000,0.020000,0.050000
0.040000,0.020000,0.030000
0.050000,0.020000,0.020000
0.020000,0.010000,0.030000
0.040000,0.050000,0.120000
0.020000,0.040000,0.020000
0.020000,0.040000,0.020000
0.010000,0.040000,0.010000
0.010000,0.020000,0.030000
0.020000,0.020000,0.020000
0.030000,0.020000,0.030000
0.020000,0.030000,0.060000
0.020000,0.030000,1.170000
0.050000,0.060000,0.030000
0.020000,0.040000,0.070000
0.020000,0.030000,0.120000
0.030000,0.020000,0.030000
0.050000,0.040000,1.350000
0.010000,0.030000,0.050000
0.010000,0.040000,0.050000
0.030000,0.060000,0.030000
0.010000,0.050000,0.020000
0.010000,0.060000,0.030000
0.050000,0.040000,0.040000
0.010000,0.020000,0.110000
0.010000,0.010000,0.020000
0.020000,0.030000,0.020000
0.020000,0.040000,0.009975
0.050000,0.009839,0.010000
0.010000,0.010000,0.020000
0.008609,0.020000,0.010000
0.050000,0.030000,0.020000
0.009839,0.009839,0.020000
0.030000,0.020000,0.020000
0.030000,0.020000,0.010000
0.009839,0.020000,0.009352
0.030000,0.030000,0.110000
0.040000,0.010000,0.010000
0.020000,0.010000,0.009975
0.020000,0.010000,0.010000
0.090000,0.030000,0.010000
0.007379,0.010000,0.010000
0.020000,0.008609,0.009975
0.050000,0.030000,0.008728
0.010000,0.008609,0.010000
0.030000,0.020000,0.020000
0.040000,0.030000,0.008105
0.030000,0.009839,0.040000
0.050000,0.010000,0.010000
0.030000,0.080000,0.050000
0.020000,0.020000,0.030000
0.050000,0.010000,0.040000
0.009352,0.030000,0.040000
0.009975,0.020000,0.020000
0.009975,0.030000,0.040000
0.010000,0.010000,0.100000
0.020000,0.060000,0.060000
0.009352,0.020000,0.007026
0.040000,0.080000,0.010000
0.040000,0.010000,0.030000
0.020000,0.040000,0.030000
0.020000,0.010000,0.020000
0.009975,0.009839,0.030000
0.020000,0.040000,0.020000
0.010000,0.040000,0.060000
0.010000,0.030000,0.010000
0.030000,0.030000,0.010000
0.060000,0.010000,0.020000
0.040000,0.009839,0.009352
0.030000,0.020000,0.010000
0.020000,0.020000,0.020000
0.007481,0.010000,0.020000
0.020000,0.020000,0.020000
0.010000,0.050000,0.110000
0.010000,0.030000,0.020000
0.007665,0.020000,0.090000
0.009261,0.040000,0.010000
0.080000,0.030000,0.060000
0.010000,0.030000,0.110000
0.008303,0.050000,0.060000
0.010000,0.040000,0.120000
0.020000,0.060000,0.020000
0.010000,0.030000,0.009352
0.010000,0.030000,0.070000
0.020000,0.040000,0.030000
0.010000,0.010000,0.070000
0.030000,0.020000,0.010000
0.040000,0.030000,0.040000
0.070000,0.020000,0.020000
0.009261,0.020000,0.040000
0.040000,0.050000,0.020000
0.040000,0.020000,0.020000
0.009900,0.030000,0.010000
0.030000,0.020000,0.010000
0.020000,0.010000,0.008728
0.008623,0.030000,0.020000
0.010000,0.040000,0.010000
0.008942,0.050000,0.030000
0.010000,0.050000,0.160000
0.020000,0.030000,0.030000
0.020000,0.020000,0.020000
0.010000,0.010000,0.060000
0.010000,0.020000,0.020000
0.010000,0.009839,0.160000
0.030000,0.070000,0.020000
0.020000,0.020000,0.030000
0.020000,0.020000,0.040000
0.010000,0.010000,0.050000
0.020000,0.010000,0.410000
0.010000,0.020000,0.020000
0.030000,0.009839,0.120000
0.040000,0.020000,0.050000
0.010000,0.030000,0.050000
0.020000,0.009839,0.030000
0.008609,0.020000,0.030000
0.010000,0.040000,0.010000
0.020000,0.010000,0.110000
0.008303,0.030000,0.120000
0.010000,0.010000,0.030000
0.040000,0.060000,0.060000
0.030000,0.010000,0.010000
0.150000,0.020000,0.050000
0.030000,0.010000,0.010000
0.010000,0.030000,0.008105
0.020000,0.040000,0.050000
0.008942,0.040000,0.010000
0.030000,0.009839,0.010000
